sentence,intent,tokens,BIO_tags
hey check my booking status for avatar the way of water,check_booking_status,"[""hey"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""avatar"", ""the"", ""way"", ""of"", ""water""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME""]"
pls yo when is top gun maverick showing at luxe imax,check_showtime,"[""pls"", ""yo"", ""when"", ""is"", ""top"", ""gun"", ""maverick"", ""showing"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
pls when is interstellar showing at pvr nexus mall,check_showtime,"[""pls"", ""when"", ""is"", ""interstellar"", ""showing"", ""at"", ""pvr"", ""nexus"", ""mall""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
is there a dolby show of jawan today,check_showtime,"[""is"", ""there"", ""a"", ""dolby"", ""show"", ""of"", ""jawan"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
um drop my reservation at cannival city mall,cancel_ticket,"[""um"", ""drop"", ""my"", ""reservation"", ""at"", ""cannival"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
um give me vip arfund c3,select_seat,"[""um"", ""give"", ""me"", ""vip"", ""arfund"", ""c3""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
find interstellar in hyderabad,search_movie,"[""find"", ""interstellar"", ""in"", ""hyderabad""]","[""O"", ""B-MOVIE_NAME"", ""O"", ""B-CITY""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
show me showtimes for leo on 27 may,check_showtime,"[""show"", ""me"", ""showtimes"", ""for"", ""leo"", ""on"", ""27"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
"hi, need help now",greeting,"[""hi"", "","", ""need"", ""help"", ""now""]","[""O"", ""O"", ""O"", ""O""]"
book 1 recliner tickets for spider man no way home at wave cinemas,book_ticket,"[""book"", ""1"", ""recliner"", ""tickets"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""at"", ""wave"", ""cinemas""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
can u book dune part two for 3 people,book_ticket,"[""can"", ""u"", ""book"", ""dune"", ""part"", ""two"", ""for"", ""3"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
yo where is my tcket for 26 may,check_booking_status,"[""yo"", ""where"", ""is"", ""my"", ""tcket"", ""for"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
um show me showtimes for tiger 3 on tomorrow,check_showtime,"[""um"", ""show"", ""me"", ""showtimes"", ""for"", ""tiger"", ""3"", ""on"", ""tomorrow""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
quick um i want b12 for the show,select_seat,"[""quick"", ""um"", ""i"", ""want"", ""b12"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
yo give me vip around c4 thx,select_seat,"[""yo"", ""give"", ""me"", ""vip"", ""around"", ""c4"", ""thx""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey i want a10 for the show,select_seat,"[""hey"", ""i"", ""want"", ""a10"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
any malayalam movies in pune,search_movie,"[""any"", ""malayalam"", ""movies"", ""in"", ""pune""]","[""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
yo um show my booking details at raj mandir,check_booking_status,"[""yo"", ""um"", ""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
please refund my booking for next friday,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
i want to cncl tickets for jawan today,cancel_ticket,"[""i"", ""want"", ""to"", ""cncl"", ""tickets"", ""for"", ""jawan"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
i want a10 for the show,select_seat,"[""i"", ""want"", ""a10"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
can u buk oppenheimer for 1 people,book_ticket,"[""can"", ""u"", ""buk"", ""oppenheimer"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
yo yo what time does jawan start in jaipur,check_showtime,"[""yo"", ""yo"", ""what"", ""time"", ""does"", ""jawan"", ""start"", ""in"", ""jaipur""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
yo pick reglar seats near b12,select_seat,"[""yo"", ""pick"", ""reglar"", ""seats"", ""near"", ""b12""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
hello,greeting,"[""hello""]","[""O""]"
is there a imax show of top gun maverick today,check_showtime,"[""is"", ""there"", ""a"", ""imax"", ""show"", ""of"", ""top"", ""gun"", ""maverick"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
yo choose recliner seat b12,select_seat,"[""yo"", ""choose"", ""recliner"", ""seat"", ""b12""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
show my booking details at raj mandir,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
drop my reervation at mraj cnemas,cancel_ticket,"[""drop"", ""my"", ""reervation"", ""at"", ""mraj"", ""cnemas""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
pick recliner seats near a11,select_seat,"[""pick"", ""recliner"", ""seats"", ""near"", ""a11""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
cancel the 6 seats in kolkata,cancel_ticket,"[""cancel"", ""the"", ""6"", ""seats"", ""in"", ""kolkata""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
reserve 6 vip seats in ahmedabad,book_ticket,"[""reserve"", ""6"", ""vip"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
where is my ticket for this weekend,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
can u book interstellar for 6 people,book_ticket,"[""can"", ""u"", ""book"", ""interstellar"", ""for"", ""6"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
um what movies like jawan are running in hyderabad,search_movie,"[""um"", ""what"", ""movies"", ""like"", ""jawan"", ""are"", ""running"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo,greeting,"[""yo""]","[""O""]"
hey check my booking status for tiger 3,check_booking_status,"[""hey"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""tiger"", ""3""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME""]"
yo,greeting,"[""yo""]","[""O""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
show me spier man no way home sessions in ahmedabad,search_movie,"[""show"", ""me"", ""spier"", ""man"", ""no"", ""way"", ""home"", ""sessions"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
reserve 5 balcony seats in bengaluru,book_ticket,"[""reserve"", ""5"", ""balcony"", ""seats"", ""in"", ""bengaluru""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
what time does tiger 3 start in delhi,check_showtime,"[""what"", ""time"", ""does"", ""tiger"", ""3"", ""start"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls show me showtimes for leo on 26 may,check_showtime,"[""pls"", ""show"", ""me"", ""showtimes"", ""for"", ""leo"", ""on"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
um give me recliner around d8,select_seat,"[""um"", ""give"", ""me"", ""recliner"", ""around"", ""d8""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
cancel the 6 seats in jaipur,cancel_ticket,"[""cancel"", ""the"", ""6"", ""seats"", ""in"", ""jaipur""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
pls is my reservation confirmed for 8 pm,check_booking_status,"[""pls"", ""is"", ""my"", ""reservation"", ""confirmed"", ""for"", ""8"", ""pm""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-TIME"", ""I-TIME""]"
pls what time does oppenheimer start in bengaluru,check_showtime,"[""pls"", ""what"", ""time"", ""does"", ""oppenheimer"", ""start"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
hey show me interstellar sessons in hyderabad,search_movie,"[""hey"", ""show"", ""me"", ""interstellar"", ""sessons"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
i need 5 tickets for leo this next saturday,book_ticket,"[""i"", ""need"", ""5"", ""tickets"", ""for"", ""leo"", ""this"", ""next"", ""saturday""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
is there a 4dx show of kalki 2898 ad today,check_showtime,"[""is"", ""there"", ""a"", ""4dx"", ""show"", ""of"", ""kalki"", ""2898"", ""ad"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
quick tat's all thanps,goodbye,"[""quick"", ""tat's"", ""all"", ""thanps""]","[""O"", ""O"", ""O""]"
yo i want to caxcel ticets for the batman tday,cancel_ticket,"[""yo"", ""i"", ""want"", ""to"", ""caxcel"", ""ticets"", ""for"", ""the"", ""batman"", ""tday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
please refund my booking for this evening,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
um please book me 4 for barbie at 8 pm,book_ticket,"[""um"", ""please"", ""book"", ""me"", ""4"", ""for"", ""barbie"", ""at"", ""8"", ""pm""]","[""O"", ""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME""]"
cancel my spider man no way home booking at pvr nexus mall,cancel_ticket,"[""cancel"", ""my"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""booking"", ""at"", ""pvr"", ""nexus"", ""mall""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
pls is leo playing near bengluru,search_movie,"[""pls"", ""is"", ""leo"", ""playing"", ""near"", ""bengluru""]","[""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
can u book interstellar for 6 people,book_ticket,"[""can"", ""u"", ""book"", ""interstellar"", ""for"", ""6"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
yo,greeting,"[""yo""]","[""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
chek my booking statuz for babie,check_booking_status,"[""chek"", ""my"", ""booking"", ""statuz"", ""for"", ""babie""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME""]"
give me recliner around c4,select_seat,"[""give"", ""me"", ""recliner"", ""around"", ""c4""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
um i need 4 tickets for oppenheimer this tomorrow,book_ticket,"[""um"", ""i"", ""need"", ""4"", ""tickets"", ""for"", ""oppenheimer"", ""this"", ""tomorrow""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
show my booking details at raj mandir,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
find the batman in ahmedabad,search_movie,"[""find"", ""the"", ""batman"", ""in"", ""ahmedabad""]","[""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
where is my ticket for next friday,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
hey reserve 4 recliner seats in jaipur,book_ticket,"[""hey"", ""reserve"", ""4"", ""recliner"", ""seats"", ""in"", ""jaipur""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
um show me showtimes for interstellar on 26 may,check_showtime,"[""um"", ""show"", ""me"", ""showtimes"", ""for"", ""interstellar"", ""on"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
um is there a 3d show of leo tody pls,check_showtime,"[""um"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""leo"", ""tody"", ""pls""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
pls can u buk interstellar for 1 people,book_ticket,"[""pls"", ""can"", ""u"", ""buk"", ""interstellar"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
pick vip seats near b7,select_seat,"[""pick"", ""vip"", ""seats"", ""near"", ""b7""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
look up my movie booking in bengaluru,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
pick premium seats near a11,select_seat,"[""pick"", ""premium"", ""seats"", ""near"", ""a11""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
um is my resecvation confqrmed for 5 pm,check_booking_status,"[""um"", ""is"", ""my"", ""resecvation"", ""confqrmed"", ""for"", ""5"", ""pm""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-TIME"", ""I-TIME""]"
hey see you later,goodbye,"[""hey"", ""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
look up my movie booking in hyderabad,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
um reserve 1 premium seats in ahmedabad,book_ticket,"[""um"", ""reserve"", ""1"", ""premium"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
show my booking details at raj mandir,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
book 2 premium tickets for kalki 2898 ad at cinepolis central,book_ticket,"[""book"", ""2"", ""premium"", ""tickets"", ""for"", ""kalki"", ""2898"", ""ad"", ""at"", ""cinepolis"", ""central""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hey i need 2 tickets for top gun maverick this 26 may,book_ticket,"[""hey"", ""i"", ""need"", ""2"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""this"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
i need 3 tickets for leo this 25 may,book_ticket,"[""i"", ""need"", ""3"", ""tickets"", ""for"", ""leo"", ""this"", ""25"", ""may""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
pick vip seats near c3,select_seat,"[""pick"", ""vip"", ""seats"", ""near"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
