sentence,intent,tokens,BIO_tags
um please refund my booking for today,cancel_ticket,"[""um"", ""please"", ""refund"", ""my"", ""booking"", ""for"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
i want to cancel tickets for top gun maverick today,cancel_ticket,"[""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
that's all thanks?,goodbye,"[""that's"", ""all"", ""thanks"", ""?""]","[""O"", ""O"", ""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
where is my ticket for this evening,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
hey cancel the 3 seats in kolkata,cancel_ticket,"[""hey"", ""cancel"", ""the"", ""3"", ""seats"", ""in"", ""kolkata""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
pls please refund my booking for 25 may,cancel_ticket,"[""pls"", ""please"", ""refund"", ""my"", ""booking"", ""for"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
hey is my reservation confirmed for 10 am,check_booking_status,"[""hey"", ""is"", ""my"", ""reservation"", ""confirmed"", ""for"", ""10"", ""am""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-TIME"", ""I-TIME""]"
yo look up my movie booking in mumbai,check_booking_status,"[""yo"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""mumbai""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
i want to cancel tickets for the batman today,cancel_ticket,"[""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""the"", ""batman"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
can u book jawan for 2 people,book_ticket,"[""can"", ""u"", ""book"", ""jawan"", ""for"", ""2"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
quick um i want b12 for the show,select_seat,"[""quick"", ""um"", ""i"", ""want"", ""b12"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
bye and thx,goodbye,"[""bye"", ""and"", ""thx""]","[""O"", ""O"", ""O""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
please refund my booking for this evening,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
hey show my booking details at luxe imax,check_booking_status,"[""hey"", ""show"", ""my"", ""booking"", ""details"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
pls reserve 6 balcony seats in kolkata,book_ticket,"[""pls"", ""reserve"", ""6"", ""balcony"", ""seats"", ""in"", ""kolkata""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
pls cncl the 2 seats in bengaluru,cancel_ticket,"[""pls"", ""cncl"", ""the"", ""2"", ""seats"", ""in"", ""bengaluru""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
book 1 premium tickets for barbie at wave cinemas,book_ticket,"[""book"", ""1"", ""premium"", ""tickets"", ""for"", ""barbie"", ""at"", ""wave"", ""cinemas""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
yo,greeting,"[""yo""]","[""O""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
pls when is interstellar showing at pvr nexus mall,check_showtime,"[""pls"", ""when"", ""is"", ""interstellar"", ""showing"", ""at"", ""pvr"", ""nexus"", ""mall""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
yo any hindi movies in delhi,search_movie,"[""yo"", ""any"", ""hindi"", ""movies"", ""in"", ""delhi""]","[""O"", ""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
hey look up my mouie booking in delhi,check_booking_status,"[""hey"", ""look"", ""up"", ""my"", ""mouie"", ""booking"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo show me showtimes for barbie on today,check_showtime,"[""yo"", ""show"", ""me"", ""showtimes"", ""for"", ""barbie"", ""on"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
um show my bookig details at wave cinesas now,check_booking_status,"[""um"", ""show"", ""my"", ""bookig"", ""details"", ""at"", ""wave"", ""cinesas"", ""now""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
pls cancel the 6 seats in kochi,cancel_ticket,"[""pls"", ""cancel"", ""the"", ""6"", ""seats"", ""in"", ""kochi""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
hey show me dune part two sessions in kolkata,search_movie,"[""hey"", ""show"", ""me"", ""dune"", ""part"", ""two"", ""sessions"", ""in"", ""kolkata""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
what time does tiger 3 start in hyderabad,check_showtime,"[""what"", ""time"", ""does"", ""tiger"", ""3"", ""start"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
hello,greeting,"[""hello""]","[""O""]"
where is my ticket for this evening,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
find the batman in kolkata please,search_movie,"[""find"", ""the"", ""batman"", ""in"", ""kolkata"", ""please""]","[""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
choose vip seat e15,select_seat,"[""choose"", ""vip"", ""seat"", ""e15""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
yo look up my movie booking in mumbai,check_booking_status,"[""yo"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""mumbai""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
please book me 2 for tiger 3 at 11 pm,book_ticket,"[""please"", ""book"", ""me"", ""2"", ""for"", ""tiger"", ""3"", ""at"", ""11"", ""pm""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
check my booking status for top gun maverick,check_booking_status,"[""check"", ""my"", ""booking"", ""status"", ""for"", ""top"", ""gun"", ""maverick""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
hello,greeting,"[""hello""]","[""O""]"
tell me the timings for dune part two at wave cnemas,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""dune"", ""part"", ""two"", ""at"", ""wave"", ""cnemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo reserve 5 vip seats in ahmedabad,book_ticket,"[""yo"", ""reserve"", ""5"", ""vip"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
show me tiger 3 sessions in mumbai,search_movie,"[""show"", ""me"", ""tiger"", ""3"", ""sessions"", ""in"", ""mumbai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls i want c4 for the show,select_seat,"[""pls"", ""i"", ""want"", ""c4"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
what movies like the batman are running in kolkata,search_movie,"[""what"", ""movies"", ""like"", ""the"", ""batman"", ""are"", ""running"", ""in"", ""kolkata""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo pick regular seats near a11,select_seat,"[""yo"", ""pick"", ""regular"", ""seats"", ""near"", ""a11""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
thanks bye now,goodbye,"[""thanks"", ""bye"", ""now""]","[""O"", ""O""]"
is oppenheimer playing near mumbai,search_movie,"[""is"", ""oppenheimer"", ""playing"", ""near"", ""mumbai""]","[""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
um when is kalki 2898 ad showing at raj mandir,check_showtime,"[""um"", ""when"", ""is"", ""kalki"", ""2898"", ""ad"", ""showing"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
hey choose balcony seat b7 now,select_seat,"[""hey"", ""choose"", ""balcony"", ""seat"", ""b7"", ""now""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
give me vip around a11,select_seat,"[""give"", ""me"", ""vip"", ""around"", ""a11""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
um what movies like jawan are running in hyderabad,search_movie,"[""um"", ""what"", ""movies"", ""like"", ""jawan"", ""are"", ""running"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
can u book interstellar for 6 people,book_ticket,"[""can"", ""u"", ""book"", ""interstellar"", ""for"", ""6"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
yo can u book spider man no way home for 6 peple,book_ticket,"[""yo"", ""can"", ""u"", ""book"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""for"", ""6"", ""peple""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
yo reserve 6 regular seats in mumbai,book_ticket,"[""yo"", ""reserve"", ""6"", ""regular"", ""seats"", ""in"", ""mumbai""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
pls hey show me showtimes for interstellar on 27 may,check_showtime,"[""pls"", ""hey"", ""show"", ""me"", ""showtimes"", ""for"", ""interstellar"", ""on"", ""27"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
pls choose regular seat a11 now,select_seat,"[""pls"", ""choose"", ""regular"", ""seat"", ""a11"", ""now""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey what moiies like the batman are running in hyderabad,search_movie,"[""hey"", ""what"", ""moiies"", ""like"", ""the"", ""batman"", ""are"", ""running"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
choose reclner seat b7 thx,select_seat,"[""choose"", ""reclner"", ""seat"", ""b7"", ""thx""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
please refund my booking for tonight,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""tonight""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
is my reservation confirmed for 3 : 15 pm,check_booking_status,"[""is"", ""my"", ""reservation"", ""confirmed"", ""for"", ""3"", "":"", ""15"", ""pm""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
yo book 6 balcony tix for kalvi 2898 ad at cinepois central,book_ticket,"[""yo"", ""book"", ""6"", ""balcony"", ""tix"", ""for"", ""kalvi"", ""2898"", ""ad"", ""at"", ""cinepois"", ""central""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what time does jawan start in bengaluru,check_showtime,"[""what"", ""time"", ""does"", ""jawan"", ""start"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls when is jawan showing at luxe imax,check_showtime,"[""pls"", ""when"", ""is"", ""jawan"", ""showing"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what movies like avatar the way of water are running in delhi,search_movie,"[""what"", ""movies"", ""like"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""are"", ""running"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
reserve 2 balcony seats in mumbai,book_ticket,"[""reserve"", ""2"", ""balcony"", ""seats"", ""in"", ""mumbai""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
pls can u book dune part two for 1 people,book_ticket,"[""pls"", ""can"", ""u"", ""book"", ""dune"", ""part"", ""two"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
look up my movie booking in hyderabad,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
show my booking details at carnival city mall,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
pick recliner seats near a11,select_seat,"[""pick"", ""recliner"", ""seats"", ""near"", ""a11""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
pls is there a 3d show of kalki 2898 ad today,check_showtime,"[""pls"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""kalki"", ""2898"", ""ad"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
tell me the timings for oppnheimer at cinepolis central,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""oppnheimer"", ""at"", ""cinepolis"", ""central""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
give me recliner around c4,select_seat,"[""give"", ""me"", ""recliner"", ""around"", ""c4""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey check my booking status for interstellar,check_booking_status,"[""hey"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""interstellar""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
cancel my oppenheimer booking at miraj cinemas,cancel_ticket,"[""cancel"", ""my"", ""oppenheimer"", ""booking"", ""at"", ""miraj"", ""cinemas""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
find jawan in pune,search_movie,"[""find"", ""jawan"", ""in"", ""pune""]","[""O"", ""B-MOVIE_NAME"", ""O"", ""B-CITY""]"
choose recliner seat c3,select_seat,"[""choose"", ""recliner"", ""seat"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey plz refnd my booking for this weekend,cancel_ticket,"[""hey"", ""plz"", ""refnd"", ""my"", ""booking"", ""for"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
pls where is my ticket for next friday,check_booking_status,"[""pls"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
tell me the timings for barbie at wave ciemas,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""barbie"", ""at"", ""wave"", ""ciemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo please book me 3 for kalki 2898 ad at 6 : 45 pm,book_ticket,"[""yo"", ""please"", ""book"", ""me"", ""3"", ""for"", ""kalki"", ""2898"", ""ad"", ""at"", ""6"", "":"", ""45"", ""pm""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
yo i want c4 for the show,select_seat,"[""yo"", ""i"", ""want"", ""c4"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
hey i need 4 tickets for top gun maverick this next friday,book_ticket,"[""hey"", ""i"", ""need"", ""4"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""this"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
pls can u book kalki 2898 ad for 1 people,book_ticket,"[""pls"", ""can"", ""u"", ""book"", ""kalki"", ""2898"", ""ad"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
is my reservation confirmed for 6 : 45 pm,check_booking_status,"[""is"", ""my"", ""reservation"", ""confirmed"", ""for"", ""6"", "":"", ""45"", ""pm""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
yo um show my booking details at raj mandir,check_booking_status,"[""yo"", ""um"", ""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
can u buk oppenheimer for 1 people,book_ticket,"[""can"", ""u"", ""buk"", ""oppenheimer"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
tell me the timings for oppenheimer at luxe imax,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""oppenheimer"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo book 1 recliner tickets for interstellar at inox city center,book_ticket,"[""yo"", ""book"", ""1"", ""recliner"", ""tickets"", ""for"", ""interstellar"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
i want to cancel tickets for spider man no way home today,cancel_ticket,"[""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
um give me recliner around d8,select_seat,"[""um"", ""give"", ""me"", ""recliner"", ""around"", ""d8""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey look up my movie booking in kochi,check_booking_status,"[""hey"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""kochi""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
pls drop my reservation at inox city center,cancel_ticket,"[""pls"", ""drop"", ""my"", ""reservation"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
yo look up my movie booking in pune,check_booking_status,"[""yo"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""pune""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
drop my reservation at inox city center,cancel_ticket,"[""drop"", ""my"", ""reservation"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
yo tell me the timings for top gun maverick at carnival city mall,check_showtime,"[""yo"", ""tell"", ""me"", ""the"", ""timings"", ""for"", ""top"", ""gun"", ""maverick"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
